split,train_size,method_id,method_label,representation,model,rank,mean_MAE,std_MAE,mean_R2,std_R2
random,8000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.06639497280120846,0.002692720495643447,0.9430451654549408,0.0033794143668725934
random,8000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,2,0.07268549799919126,0.0014346840600999184,0.9411270022392273,0.003821297631408524
random,8000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,3,0.08758883981626105,0.0008096690319724269,0.900817705432748,0.006709336961243784
random,8000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,4,0.0926731586456298,0.0019050968199122178,0.9102784633636475,0.008997327520360157
random,8000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,5,0.11456542798682041,0.0016700329323433014,0.8308648091086145,0.017595043304239673
random,8000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,6,0.11944156587123869,0.0016214250082955241,0.8371735572814941,0.0073991550132529085
random,8000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,7,0.15274437069892882,0.0027539953643640532,0.7726123929023743,0.014142308240698433
random,10000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.0605665750801563,0.0017043833578719435,0.951658165778985,0.0033517241786265245
random,10000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,2,0.06895465552806852,0.0009224131397227247,0.946769917011261,0.00585914067819284
random,10000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,3,0.0836853583861434,0.001677783128217984,0.9058317792249635,0.00922358420926659
random,10000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,4,0.09168694615364073,0.002213797116007985,0.9119779348373414,0.009940144472387771
random,10000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,5,0.10968617905967767,0.001369321057228771,0.8387046424359985,0.01788284534841642
random,10000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,6,0.11289743632078167,0.002748613290760934,0.8528870820999146,0.009401306578207785
random,10000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,7,0.15252502858638758,0.001662875303221743,0.7745391726493835,0.011511321526118256
scaffold,500,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.1651808142662048,0.02372568421018965,0.32265429496765136,0.8767814748689436
scaffold,500,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,2,0.16818921566009518,0.025655783446654156,0.7086746573448182,0.0557591881662464
scaffold,500,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,3,0.1830148100245687,0.023947948307896542,0.6688540155958077,0.0490448985893949
scaffold,500,gine,2D graph + GINE,2D molecular graph,scratch GINE,4,0.1851651310920715,0.025864387664799204,0.6992221471722913,0.05057235582571763
scaffold,500,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,5,0.2128480821847915,0.018403455333368367,0.5999698281288147,0.03715379677341033
scaffold,500,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,6,0.22028075749215184,0.01889059763771265,0.5671335109651945,0.0331635658075643
scaffold,500,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,7,0.25446015000343325,0.038995204604574035,0.4636364459991455,0.08915749469526364
scaffold,1000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.14431811869144434,0.021794052639422898,0.7462530732154846,0.06276229730805469
scaffold,1000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,2,0.15225753188133234,0.024940575778297707,0.748500394821167,0.0557640798571341
scaffold,1000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,3,0.1615099719013418,0.022613932575772613,0.7233279482346302,0.046761935643671475
scaffold,1000,gine,2D graph + GINE,2D molecular graph,scratch GINE,4,0.17555632591247555,0.016917206144661422,0.7317057500661402,0.028271942177061152
scaffold,1000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,5,0.20183078050613398,0.017843551791444028,0.6362346410751343,0.041355310124062704
scaffold,1000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,6,0.20446020098087025,0.02080227205674077,0.6090929953482158,0.03725445414444643
scaffold,1000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,7,0.23695431351661683,0.03830168522085641,0.5306880950927735,0.09156272396844496
scaffold,2000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.1324619591236114,0.02007398322314898,0.8223041823639413,0.03721865554887873
scaffold,2000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,2,0.13349152654409405,0.033490651474810305,0.7880558609962464,0.0953864415730735
scaffold,2000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,3,0.14178436547517773,0.027552062286208944,0.7921877861022949,0.050226502277595925
scaffold,2000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,4,0.14635082872691413,0.0197995013055056,0.7652629794717157,0.037342823842401465
