method_id,method_label,train_size,seed,random_MAE,scaffold_MAE,gap_seed,mean_gap,std_gap,n_seeds
rdkit_rf,RDKit + RF,500,11,0.1501721475531769,0.1589225003408746,0.008750352787697702,0.0310129763835142,0.01894930777796178,5
rdkit_rf,RDKit + RF,500,22,0.1430347004390344,0.1680631605046047,0.0250284600655703,0.0310129763835142,0.01894930777796178,5
rdkit_rf,RDKit + RF,500,33,0.1506435596318499,0.1704574740101929,0.01981391437834301,0.0310129763835142,0.01894930777796178,5
rdkit_rf,RDKit + RF,500,44,0.1582252794569025,0.2081111205336838,0.04988584107678129,0.0310129763835142,0.01894930777796178,5
rdkit_rf,RDKit + RF,500,55,0.1579334811243088,0.2095197947334875,0.0515863136091787,0.0310129763835142,0.01894930777796178,5
rdkit_xgb,RDKit + XGB,500,11,0.1359194219112396,0.1413188129663467,0.005399391055107117,0.03262569904327393,0.02342907805319846,5
rdkit_xgb,RDKit + XGB,500,22,0.131653606891632,0.1534194052219391,0.02176579833030709,0.03262569904327393,0.02342907805319846,5
rdkit_xgb,RDKit + XGB,500,33,0.1309351474046707,0.1564714312553405,0.025536283850669805,0.03262569904327393,0.02342907805319846,5
rdkit_xgb,RDKit + XGB,500,44,0.1430629789829254,0.1867482811212539,0.043685302138328524,0.03262569904327393,0.02342907805319846,5
rdkit_xgb,RDKit + XGB,500,55,0.1362464278936386,0.2029881477355957,0.06674171984195709,0.03262569904327393,0.02342907805319846,5
rdkit_mlp,RDKit + MLP,500,11,0.1290892213582992,0.1396848857402801,0.010595664381980896,0.03098859786987304,0.022519525863987176,5
rdkit_mlp,RDKit + MLP,500,22,0.1433674991130828,0.1503325402736663,0.006965041160583496,0.03098859786987304,0.022519525863987176,5
rdkit_mlp,RDKit + MLP,500,33,0.1230437308549881,0.155175507068634,0.03213177621364591,0.03098859786987304,0.022519525863987176,5
rdkit_mlp,RDKit + MLP,500,44,0.1333290636539459,0.1929513365030288,0.05962227284908289,0.03098859786987304,0.022519525863987176,5
rdkit_mlp,RDKit + MLP,500,55,0.1421315670013427,0.1877598017454147,0.045628234744072016,0.03098859786987304,0.022519525863987176,5
morgan_rf,Morgan + RF,500,11,0.1928965077707146,0.1976242416527263,0.004727733882011698,0.025052390545718478,0.016632777165753506,5
morgan_rf,Morgan + RF,500,22,0.1936549422222671,0.2086655249756405,0.015010582753373414,0.025052390545718478,0.016632777165753506,5
morgan_rf,Morgan + RF,500,33,0.191391491637269,0.2181063035054675,0.02671481186819849,0.025052390545718478,0.016632777165753506,5
morgan_rf,Morgan + RF,500,44,0.2011057329268693,0.2310776787132724,0.02997194578640308,0.025052390545718478,0.016632777165753506,5
morgan_rf,Morgan + RF,500,55,0.1970931601750467,0.2459300386136524,0.04883687843860571,0.025052390545718478,0.016632777165753506,5
morgan_xgb,Morgan + XGB,500,11,0.1905290186405182,0.1896131783723831,-0.0009158402681350986,0.0228961616754532,0.021363352858840112,5
morgan_xgb,Morgan + XGB,500,22,0.1926904916763305,0.2026427835226059,0.009952291846275385,0.0228961616754532,0.021363352858840112,5
morgan_xgb,Morgan + XGB,500,33,0.1902918666601181,0.2111543715000152,0.0208625048398971,0.0228961616754532,0.021363352858840112,5
morgan_xgb,Morgan + XGB,500,44,0.1943245977163314,0.2236817181110382,0.02935712039470681,0.0228961616754532,0.021363352858840112,5
morgan_xgb,Morgan + XGB,500,55,0.1819236278533935,0.2371483594179153,0.05522473156452179,0.0228961616754532,0.021363352858840112,5
morgan_mlp,Morgan + MLP,500,11,0.2123748064041137,0.21319180727005,0.000817000865936307,0.04386065006256104,0.03890021388466397,5
morgan_mlp,Morgan + MLP,500,22,0.2070985585451126,0.2284208685159683,0.021322309970855685,0.04386065006256104,0.03890021388466397,5
morgan_mlp,Morgan + MLP,500,33,0.2118384391069412,0.2387725263833999,0.026934087276458712,0.04386065006256104,0.03890021388466397,5
morgan_mlp,Morgan + MLP,500,44,0.2122489511966705,0.2983217239379883,0.08607277274131778,0.04386065006256104,0.03890021388466397,5
morgan_mlp,Morgan + MLP,500,55,0.2094367444515228,0.2935938239097595,0.08415707945823672,0.04386065006256104,0.03890021388466397,5
gine,2D graph + GINE,500,11,0.165743887424469,0.1516711413860321,-0.01407274603843689,0.02633132636547088,0.027418136009508307,5
gine,2D graph + GINE,500,22,0.1460286378860473,0.1661616563796997,0.0201330184936524,0.02633132636547088,0.027418136009508307,5
gine,2D graph + GINE,500,33,0.1520083397626876,0.1898308247327804,0.0378224849700928,0.02633132636547088,0.027418136009508307,5
gine,2D graph + GINE,500,44,0.1786492019891739,0.2053946256637573,0.026745423674583407,0.02633132636547088,0.027418136009508307,5
gine,2D graph + GINE,500,55,0.1517389565706253,0.212767407298088,0.061028450727462685,0.02633132636547088,0.027418136009508307,5
rdkit_rf,RDKit + RF,1000,11,0.1302334762881942,0.1426778234678677,0.012444347179673493,0.028121916388624636,0.016658799911874255,5
rdkit_rf,RDKit + RF,1000,22,0.1306762173147224,0.1489558496914168,0.018279632376694388,0.028121916388624636,0.016658799911874255,5
rdkit_rf,RDKit + RF,1000,33,0.1271214486342141,0.1487372705084996,0.021615821874285512,0.028121916388624636,0.016658799911874255,5
rdkit_rf,RDKit + RF,1000,44,0.1356999438604968,0.1695332372224768,0.03383329336197999,0.028121916388624636,0.016658799911874255,5
rdkit_rf,RDKit + RF,1000,55,0.1432091914659584,0.1976456786164482,0.05443648715048979,0.028121916388624636,0.016658799911874255,5
rdkit_xgb,RDKit + XGB,1000,11,0.1214425265789032,0.1292145401239395,0.007772013545036288,0.03202656954526902,0.023817480237446738,5
rdkit_xgb,RDKit + XGB,1000,22,0.1189054772257804,0.1407119184732437,0.02180644124746331,0.03202656954526902,0.023817480237446738,5
rdkit_xgb,RDKit + XGB,1000,33,0.1169483587145805,0.1393888592720031,0.022440500557422596,0.03202656954526902,0.023817480237446738,5
rdkit_xgb,RDKit + XGB,1000,44,0.1216453313827514,0.1596743762493133,0.038029044866561904,0.03202656954526902,0.023817480237446738,5
rdkit_xgb,RDKit + XGB,1000,55,0.1222131177783012,0.1922979652881622,0.070084847509861,0.03202656954526902,0.023817480237446738,5
rdkit_mlp,RDKit + MLP,1000,11,0.1116637289524078,0.1262914985418319,0.014627769589424092,0.031622616946697234,0.023120976423859185,5
rdkit_mlp,RDKit + MLP,1000,22,0.120114155113697,0.1280539035797119,0.00793974846601489,0.031622616946697234,0.023120976423859185,5
rdkit_mlp,RDKit + MLP,1000,33,0.1074272915720939,0.1319718807935714,0.024544589221477495,0.031622616946697234,0.023120976423859185,5
rdkit_mlp,RDKit + MLP,1000,44,0.1132064759731292,0.161699429154396,0.0484929531812668,0.031622616946697234,0.023120976423859185,5
rdkit_mlp,RDKit + MLP,1000,55,0.1110658571124076,0.1735738813877105,0.06250802427530289,0.031622616946697234,0.023120976423859185,5
morgan_rf,Morgan + RF,1000,11,0.1740443594984087,0.1864650664257625,0.01242070692735378,0.03232559725000671,0.02048404970866453,5
morgan_rf,Morgan + RF,1000,22,0.1696942477585324,0.1814513970218968,0.011757149263364408,0.03232559725000671,0.02048404970866453,5
morgan_rf,Morgan + RF,1000,33,0.1691068619902405,0.2080715022009844,0.03896464021074389,0.03232559725000671,0.02048404970866453,5
morgan_rf,Morgan + RF,1000,44,0.1758304213572101,0.2140581130308106,0.03822769167360049,0.03232559725000671,0.02048404970866453,5
morgan_rf,Morgan + RF,1000,55,0.171997128049926,0.232254926224897,0.06025779817497098,0.03232559725000671,0.02048404970866453,5
morgan_xgb,Morgan + XGB,1000,11,0.1801516562700271,0.1786183565855026,-0.0015332996845245084,0.026550802588462808,0.020671734770903356,5
morgan_xgb,Morgan + XGB,1000,22,0.1748804450035095,0.192942127585411,0.018061682581901495,0.026550802588462808,0.020671734770903356,5
morgan_xgb,Morgan + XGB,1000,33,0.174088567495346,0.1996280252933502,0.025539457798004178,0.026550802588462808,0.020671734770903356,5
morgan_xgb,Morgan + XGB,1000,44,0.1764504462480545,0.2133918106555938,0.036941364407539284,0.026550802588462808,0.020671734770903356,5
morgan_xgb,Morgan + XGB,1000,55,0.1708287745714187,0.2245735824108123,0.05374480783939359,0.026550802588462808,0.020671734770903356,5
morgan_mlp,Morgan + MLP,1000,11,0.1947246193885803,0.2000194191932678,0.0052947998046875,0.046279370784759535,0.03918176130235338,5
morgan_mlp,Morgan + MLP,1000,22,0.1897789984941482,0.2152513563632965,0.02547235786914831,0.046279370784759535,0.03918176130235338,5
morgan_mlp,Morgan + MLP,1000,33,0.1887180656194687,0.2131337225437164,0.024415656924247714,0.046279370784759535,0.03918176130235338,5
morgan_mlp,Morgan + MLP,1000,44,0.1893948316574096,0.2724497020244598,0.08305487036705017,0.046279370784759535,0.03918176130235338,5
morgan_mlp,Morgan + MLP,1000,55,0.1907581984996795,0.2839173674583435,0.093159168958664,0.046279370784759535,0.03918176130235338,5
gine,2D graph + GINE,1000,11,0.1427785754203796,0.147258460521698,0.004479885101318387,0.04107062220573428,0.022755810758392694,5
gine,2D graph + GINE,1000,22,0.1290927678346634,0.1805970221757888,0.051504254341125405,0.04107062220573428,0.022755810758392694,5
gine,2D graph + GINE,1000,33,0.1404964625835418,0.174107015132904,0.03361055254936221,0.04107062220573428,0.022755810758392694,5
gine,2D graph + GINE,1000,44,0.1288498640060424,0.18553426861763,0.05668440461158761,0.04107062220573428,0.022755810758392694,5
gine,2D graph + GINE,1000,55,0.1312108486890792,0.190284863114357,0.05907401442527779,0.04107062220573428,0.022755810758392694,5
rdkit_rf,RDKit + RF,2000,11,0.1137540456150383,0.1321499676486924,0.018395922033654116,0.03106643425992812,0.019548499177759058,5
rdkit_rf,RDKit + RF,2000,22,0.1147573670931787,0.1352701500241767,0.020512782930997994,0.03106643425992812,0.019548499177759058,5
rdkit_rf,RDKit + RF,2000,33,0.1164327314420692,0.1289241180421907,0.012491386600121501,0.03106643425992812,0.019548499177759058,5
rdkit_rf,RDKit + RF,2000,44,0.1163616362127181,0.1639668035011847,0.0476051672884666,0.03106643425992812,0.019548499177759058,5
rdkit_rf,RDKit + RF,2000,55,0.1151161919719258,0.1714431044183262,0.056326912446400396,0.03106643425992812,0.019548499177759058,5
rdkit_xgb,RDKit + XGB,2000,11,0.1090118661522865,0.1167705431580543,0.0077586770057677945,0.03401300013065338,0.026599455693203853,5
rdkit_xgb,RDKit + XGB,2000,22,0.1051507368683815,0.1256646364927292,0.020513899624347687,0.03401300013065338,0.026599455693203853,5
rdkit_xgb,RDKit + XGB,2000,33,0.1066203042864799,0.1229902356863021,0.016369931399822207,0.03401300013065338,0.026599455693203853,5
rdkit_xgb,RDKit + XGB,2000,44,0.1083019003272056,0.1707370728254318,0.062435172498226194,0.03401300013065338,0.026599455693203853,5
rdkit_xgb,RDKit + XGB,2000,55,0.1097720190882682,0.1727593392133712,0.062987320125103,0.03401300013065338,0.026599455693203853,5
rdkit_mlp,RDKit + MLP,2000,11,0.0926212966442108,0.1137964725494384,0.021175175905227592,0.034367127716541296,0.03477097839318933,5
rdkit_mlp,RDKit + MLP,2000,22,0.1142905727028846,0.1124398782849311,-0.001850694417953505,0.034367127716541296,0.03477097839318933,5
rdkit_mlp,RDKit + MLP,2000,33,0.0929209887981414,0.1060425639152526,0.013121575117111206,0.034367127716541296,0.03477097839318933,5
rdkit_mlp,RDKit + MLP,2000,44,0.1006821393966674,0.1845696121454239,0.08388747274875649,0.034367127716541296,0.03477097839318933,5
rdkit_mlp,RDKit + MLP,2000,55,0.0951069965958595,0.1506091058254242,0.055502109229564695,0.034367127716541296,0.03477097839318933,5
morgan_rf,Morgan + RF,2000,11,0.1509432564600423,0.1786966339910913,0.027753377531049006,0.04376269579916664,0.028875035756301796,5
morgan_rf,Morgan + RF,2000,22,0.1526935812016123,0.1624791769364792,0.009785595734866898,0.04376269579916664,0.028875035756301796,5
morgan_rf,Morgan + RF,2000,33,0.1491627987709347,0.187459378152855,0.0382965793819203,0.04376269579916664,0.028875035756301796,5
morgan_rf,Morgan + RF,2000,44,0.1530688753225057,0.2111982178852502,0.05812934256274449,0.04376269579916664,0.028875035756301796,5
morgan_rf,Morgan + RF,2000,55,0.1510834959290672,0.2359320797143197,0.08484858378525251,0.04376269579916664,0.028875035756301796,5
morgan_xgb,Morgan + XGB,2000,11,0.1646035015583038,0.1751852333545684,0.010581731796264593,0.030071842670440663,0.019628513813978773,5
morgan_xgb,Morgan + XGB,2000,22,0.1662560999393463,0.1805905401706695,0.014334440231323187,0.030071842670440663,0.019628513813978773,5
morgan_xgb,Morgan + XGB,2000,33,0.1649244576692581,0.1901145130395889,0.02519005537033081,0.030071842670440663,0.019628513813978773,5
morgan_xgb,Morgan + XGB,2000,44,0.1653014719486236,0.2088944315910339,0.043592959642410306,0.030071842670440663,0.019628513813978773,5
morgan_xgb,Morgan + XGB,2000,55,0.1643219590187072,0.2209819853305816,0.05666002631187442,0.030071842670440663,0.019628513813978773,5
morgan_mlp,Morgan + MLP,2000,11,0.170201227068901,0.1778291314840316,0.0076279044151305875,0.04365865290164948,0.031747193823088736,5
morgan_mlp,Morgan + MLP,2000,22,0.1674354672431945,0.1922443658113479,0.02480889856815341,0.04365865290164948,0.031747193823088736,5
morgan_mlp,Morgan + MLP,2000,33,0.1685311496257782,0.2005732804536819,0.03204213082790369,0.04365865290164948,0.031747193823088736,5
morgan_mlp,Morgan + MLP,2000,44,0.169962853193283,0.2508786618709564,0.08091580867767342,0.04365865290164948,0.031747193823088736,5
morgan_mlp,Morgan + MLP,2000,55,0.1675777584314346,0.2404762804508209,0.07289852201938629,0.04365865290164948,0.031747193823088736,5
gine,2D graph + GINE,2000,11,0.0978802815079689,0.1213475987315177,0.023467317223548792,0.019249549508094738,0.01420487959208909,5
gine,2D graph + GINE,2000,22,0.1091439127922058,0.1148215979337692,0.005677685141563402,0.019249549508094738,0.01420487959208909,5
gine,2D graph + GINE,2000,33,0.1126119196414947,0.1176947131752967,0.005082793533802005,0.019249549508094738,0.01420487959208909,5
gine,2D graph + GINE,2000,44,0.1287582218647003,0.151773914694786,0.0230156928300857,0.019249549508094738,0.01420487959208909,5
gine,2D graph + GINE,2000,55,0.1176677122712135,0.1566719710826873,0.03900425881147379,0.019249549508094738,0.01420487959208909,5
rdkit_rf,RDKit + RF,3000,11,0.1058599442204095,0.1224965005146865,0.016636556294277002,0.03365015772131326,0.021573397811172252,5
rdkit_rf,RDKit + RF,3000,22,0.107999487764949,0.130477166048105,0.022477678283156,0.03365015772131326,0.021573397811172252,5
rdkit_rf,RDKit + RF,3000,33,0.1075569782682752,0.1227673390442791,0.015210360776003892,0.03365015772131326,0.021573397811172252,5
rdkit_rf,RDKit + RF,3000,44,0.1054467165226229,0.1592202449983201,0.053773528475697205,0.03365015772131326,0.021573397811172252,5
rdkit_rf,RDKit + RF,3000,55,0.1068111861121262,0.1669638508895584,0.060152664777432197,0.03365015772131326,0.021573397811172252,5
rdkit_xgb,RDKit + XGB,3000,11,0.1033254265785217,0.1103021502494812,0.0069767236709595,0.03207207620143892,0.024262215126881637,5
rdkit_xgb,RDKit + XGB,3000,22,0.1000692322850227,0.1210535690188407,0.020984336733818013,0.03207207620143892,0.024262215126881637,5
rdkit_xgb,RDKit + XGB,3000,33,0.1015597283840179,0.1178194358944892,0.016259707510471302,0.03207207620143892,0.024262215126881637,5
rdkit_xgb,RDKit + XGB,3000,44,0.1015366092324256,0.1598416566848755,0.05830504745244988,0.03207207620143892,0.024262215126881637,5
rdkit_xgb,RDKit + XGB,3000,55,0.1023060977458953,0.1601406633853912,0.057834565639495905,0.03207207620143892,0.024262215126881637,5
rdkit_mlp,RDKit + MLP,3000,11,0.0887425541877746,0.1019051820039749,0.013162627816200298,0.038453347980976126,0.032212017685140766,5
rdkit_mlp,RDKit + MLP,3000,22,0.0892818942666053,0.1076778173446655,0.018395923078060206,0.038453347980976126,0.032212017685140766,5
rdkit_mlp,RDKit + MLP,3000,33,0.0883815810084343,0.104908637702465,0.016527056694030706,0.038453347980976126,0.032212017685140766,5
rdkit_mlp,RDKit + MLP,3000,44,0.0861435607075691,0.1717405766248703,0.0855970159173012,0.038453347980976126,0.032212017685140766,5
rdkit_mlp,RDKit + MLP,3000,55,0.0864362940192222,0.1450204104185104,0.058584116399288205,0.038453347980976126,0.032212017685140766,5
morgan_rf,Morgan + RF,3000,11,0.1398124917212956,0.1680477571822254,0.028235265460929804,0.04673976548578666,0.028031803763945776,5
morgan_rf,Morgan + RF,3000,22,0.1413168368613494,0.1576021089083456,0.016285272046996202,0.04673976548578666,0.028031803763945776,5
morgan_rf,Morgan + RF,3000,33,0.1391939773673645,0.1773133707683161,0.03811939340095161,0.04673976548578666,0.028031803763945776,5
morgan_rf,Morgan + RF,3000,44,0.1393523475072064,0.2064784359066096,0.0671260883994032,0.04673976548578666,0.028031803763945776,5
morgan_rf,Morgan + RF,3000,55,0.1413210657524092,0.2252538738730617,0.08393280812065251,0.04673976548578666,0.028031803763945776,5
morgan_xgb,Morgan + XGB,3000,11,0.1604399979114532,0.1711995154619217,0.0107595175504685,0.028499230742454564,0.017940606193458383,5
morgan_xgb,Morgan + XGB,3000,22,0.1599689126014709,0.1754277944564819,0.015458881855011014,0.028499230742454564,0.017940606193458383,5
morgan_xgb,Morgan + XGB,3000,33,0.1648612320423126,0.1863473057746887,0.0214860737323761,0.028499230742454564,0.017940606193458383,5
morgan_xgb,Morgan + XGB,3000,44,0.1587042212486267,0.2016635537147522,0.04295933246612549,0.028499230742454564,0.017940606193458383,5
morgan_xgb,Morgan + XGB,3000,55,0.1572438031435012,0.2090761512517929,0.05183234810829171,0.028499230742454564,0.017940606193458383,5
morgan_mlp,Morgan + MLP,3000,11,0.1539350748062133,0.1673565208911895,0.013421446084976196,0.04611735641956332,0.029635375821814493,5
morgan_mlp,Morgan + MLP,3000,22,0.1511148512363433,0.1821512132883072,0.03103636205196389,0.04611735641956332,0.029635375821814493,5
