method_id,method_label,representation,model,split,train_size,n_seeds,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_R2,std_R2
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,5000,5,0.13603911399841306,0.0019224944682829234,0.2021541761633608,0.004576714845651698,0.7986095428466797,0.006477312607111235
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,5000,5,0.08106172233819958,0.008132989017439099,0.13040418079361432,0.006655513310595882,0.9161047313306996,0.007467924203762804
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,7000,5,0.08952373406391824,0.0009390465933320222,0.14385160054568252,0.004839709925817001,0.8979165728338241,0.007155266176867447
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,7000,5,0.09362826496362679,0.0007867617116189626,0.13821555753853113,0.005545404237163333,0.9057661652565002,0.007061584089940296
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,7000,5,0.07476319670677181,0.0028509060384792257,0.11442727859316151,0.005470931647635235,0.9354105353355407,0.005434832612109756
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,7000,5,0.11859151982939486,0.0015057582899366258,0.19161148358336338,0.01085397934682095,0.8188149414998229,0.01824711992210983
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,7000,5,0.1532897680997848,0.002364676458969032,0.21626946031768007,0.008067022127675096,0.769441294670105,0.01364806671140189
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,7000,5,0.12345253527164454,0.003190428775192357,0.1878942629674427,0.0056830186473890735,0.8259752273559571,0.008652092385701592
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,7000,5,0.07062035053968424,0.002378051587480008,0.11582523662124596,0.00696625100461335,0.9337322247734463,0.007381632492526958
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,8000,5,0.08758883981626105,0.0008096690319724269,0.14179555312086442,0.00456442976536728,0.900817705432748,0.006709336961243784
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,8000,5,0.0926731586456298,0.0019050968199122178,0.13479982950469846,0.0067996801888021334,0.9102784633636475,0.008997327520360157
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,8000,5,0.07268549799919126,0.0014346840600999184,0.10927315858029914,0.0041944577212690935,0.9411270022392273,0.003821297631408524
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,8000,5,0.11456542798682041,0.0016700329323433014,0.18511842339598164,0.01082646119810006,0.8308648091086145,0.017595043304239673
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,8000,5,0.15274437069892882,0.0027539953643640532,0.21477221517860617,0.008412200443431462,0.7726123929023743,0.014142308240698433
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,8000,5,0.11944156587123869,0.0016214250082955241,0.18176357390586956,0.005528006330543551,0.8371735572814941,0.0073991550132529085
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,8000,5,0.06639497280120846,0.002692720495643447,0.10746682668938308,0.003149207159503646,0.9430451654549408,0.0033794143668725934
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,10000,5,0.0836853583861434,0.001677783128217984,0.13809871361052664,0.006697730174415041,0.9058317792249635,0.00922358420926659
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,10000,5,0.09168694615364073,0.002213797116007985,0.13349025547240184,0.0076995163764800555,0.9119779348373414,0.009940144472387771
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,10000,5,0.06895465552806852,0.0009224131397227247,0.10380696933069511,0.005533511494418023,0.946769917011261,0.00585914067819284
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,10000,5,0.10968617905967767,0.001369321057228771,0.1807501544182245,0.010962544395904526,0.8387046424359985,0.01788284534841642
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,10000,5,0.15252502858638758,0.001662875303221743,0.21387133191667318,0.006808887269945579,0.7745391726493835,0.011511321526118256
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,10000,5,0.11289743632078167,0.002748613290760934,0.17273993949954297,0.006729854454954814,0.8528870820999146,0.009401306578207785
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,10000,5,0.0605665750801563,0.0017043833578719435,0.09898875066054709,0.0030522282383868052,0.951658165778985,0.0033517241786265245
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,scaffold,500,5,0.1830148100245687,0.023947948307896542,0.2852023721577511,0.04150962639812058,0.6688540155958077,0.0490448985893949
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,scaffold,500,5,0.16818921566009518,0.025655783446654156,0.2674083265415321,0.04436731337448529,0.7086746573448182,0.0557591881662464
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,scaffold,500,5,0.1651808142662048,0.02372568421018965,0.3584143211453763,0.21175098188537808,0.32265429496765136,0.8767814748689436
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,scaffold,500,5,0.22028075749215184,0.01889059763771265,0.3258222401207982,0.034340922195538505,0.5671335109651945,0.0331635658075643
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,scaffold,500,5,0.2128480821847915,0.018403455333368367,0.3132751843899867,0.035632610595554705,0.5999698281288147,0.03715379677341033
