method_id,method_label,representation,model,train_size,mean_MAE_random,mean_MAE_scaffold,std_MAE_random,std_MAE_scaffold,gap
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,7000,0.1532897680997848,0.18196168243885036,0.002364676458969032,0.017668834292354982,0.028671914339065546
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,7000,0.12345253527164454,0.1724458038806915,0.003190428775192357,0.028361945930378114,0.04899326860904696
gine,2D graph + GINE,2D molecular graph,scratch GINE,7000,0.07062035053968424,0.09585175812244409,0.002378051587480008,0.015490773204603807,0.02523140758275985
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,8000,0.08758883981626105,0.12839965048086305,0.0008096690319724269,0.026486482635781242,0.040810810664602
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,8000,0.0926731586456298,0.12558985203504558,0.0019050968199122178,0.026143278096647626,0.032916693389415774
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,8000,0.07268549799919126,0.1097248390316963,0.0014346840600999184,0.03522078993367276,0.037039341032505044
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,8000,0.11456542798682041,0.1722434096419768,0.0016700329323433014,0.03707381692354993,0.05767798165515638
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,8000,0.15274437069892882,0.18306979537010187,0.0027539953643640532,0.01770869571125487,0.03032542467117305
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,8000,0.11944156587123869,0.16765437126159663,0.0016214250082955241,0.026899821092688018,0.04821280539035794
gine,2D graph + GINE,2D molecular graph,scratch GINE,8000,0.06639497280120846,0.09832286834716794,0.002692720495643447,0.01679277108861355,0.031927895545959484
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,10000,0.0836853583861434,0.12385639627448682,0.001677783128217984,0.025543581830577,0.04017103788834342
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,10000,0.09168694615364073,0.12312281727790828,0.002213797116007985,0.024302522935589713,0.031435871124267545
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,10000,0.06895465552806852,0.10476193577051156,0.0009224131397227247,0.032864923030485875,0.035807280242443035
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,10000,0.10968617905967767,0.17010587148233808,0.001369321057228771,0.038273046137671705,0.060419692422660404
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,10000,0.15252502858638758,0.18210351765155788,0.001662875303221743,0.018903829006139877,0.0295784890651703
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,10000,0.11289743632078167,0.15937223136425016,0.002748613290760934,0.026850227758123443,0.04647479504346849
gine,2D graph + GINE,2D molecular graph,scratch GINE,10000,0.0605665750801563,0.09282046705484386,0.0017043833578719435,0.014686450777475062,0.03225389197468755
