ik_ns,eox_sce,n_lee,n_reports,sd_reports,smiles,name,eox,n,spread,eox_exp_vs_agcl,loo_recalibrated
UTGQNNCQYDRXCH-UHFFFAOYSA-N,0.35,1,1,0.0,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,"N,N'-diphenyl p-phenylenediamine",-0.085,1,0.0,0.39399999999999996,0.392234096684481
VSHTWPWTCXQLQN-UHFFFAOYSA-N,0.6799999999999999,1,2,0.08,CCCCNc1ccccc1,N-butylaniline,0.566,1,0.0,0.724,0.9023970462536979
VSKKJZDWXKPOGW-UHFFFAOYSA-N,0.6,1,1,0.0,CC(C)(C)CNc1ccccc1,N-neopentylaniline,0.542,1,0.0,0.6439999999999999,0.8849761229226798
WCZNKVPCIFMXEQ-UHFFFAOYSA-N,0.09,1,1,0.0,Cc1c(C)c(N)c(C)c(C)c1N,"1,4-diamino-2,3,5,6-tetramethylbenzene",0.003,1,0.0,0.13399999999999998,0.4827547262941268
WEHWNAOGRSTTBQ-UHFFFAOYSA-N,1.211,1,2,0.195,CCCNCCC,dipropylamine,1.041,1,0.0,1.2550000000000001,1.269479384360188
WGQKYBSKWIADBV-UHFFFAOYSA-N,1.2,1,1,0.0,NCc1ccccc1,benzylamine,1.368,1,0.0,1.244,1.541746689916541
WGYKZJWCGVVSQN-UHFFFAOYSA-N,1.386,1,1,0.0,CCCN,n-propylamine,1.397,1,0.0,1.43,1.5542856650542296
WUGQZFFCHPXWKQ-UHFFFAOYSA-N,1.345,1,1,0.0,NCCCO,3-amino-1-propanol,1.403,1,0.0,1.389,1.5622649834927729
WZCQRUWWHSTZEM-UHFFFAOYSA-N,0.811,1,1,0.0,Nc1cccc(N)c1,m-phenylenediamine,0.575,1,0.0,0.855,0.9071576815356039
XBPCUCUWBYBCDP-UHFFFAOYSA-N,1.406,1,1,0.0,C1CCC(NC2CCCCC2)CC1,dicyclohexylamine,0.81,1,0.0,1.45,1.0828035302436518
XGWFJBFNAQHLEF-UHFFFAOYSA-N,1.41,1,1,0.0,O=C(O)c1c2ccccc2cc2ccccc12,anthracene-9-carboxylic acid,0.459,1,0.0,1.454,0.8019148216937309
YBQZXXMEJHZYMB-UHFFFAOYSA-N,0.5099999999999999,1,3,0.0828653526310403,c1ccc(NNc2ccccc2)cc1,hydrazobenzene,0.442,1,0.0,0.5539999999999998,0.8083621976616084
YBRBMKDOPFTVDT-UHFFFAOYSA-N,1.5825,1,2,0.1865,CC(C)(C)N,t-butylamine,1.369,1,0.0,1.6265,1.517848282609482
YCSBALJAGZKWFF-UHFFFAOYSA-N,0.6799999999999999,1,1,0.0,Nc1ccc2cc3ccccc3cc2c1,2-aminoanthracene,0.234,1,0.0,0.724,0.6375656173210221
YHYKLKNNBYLTQY-UHFFFAOYSA-N,0.5,1,1,0.0,NN(c1ccccc1)c1ccccc1,"1,1-diphenylhydrazine",0.341,1,0.0,0.544,0.7292873181140784
YUENFNPLGJCNRB-UHFFFAOYSA-N,0.6599999999999999,1,1,0.0,Nc1cccc2cc3ccccc3cc12,1-aminoanthracene,0.2,1,0.0,0.704,0.6105389589082435
YZVWKHVRBDQPMQ-UHFFFAOYSA-N,0.7733333333333333,1,3,0.1065624490876385,Nc1ccc2ccc3cccc4ccc1c2c34,1-aminopyrene,0.18,1,0.0,0.8173333333333332,0.5891404487431022
ZCBIFHNDZBSCEP-UHFFFAOYSA-N,0.6452,1,1,0.0,Nc1ccc2[nH]ccc2c1,5-aminoindole,0.331,1,0.0,0.6892,0.7170731116590454
ZEAWSFHWVLOENK-UHFFFAOYSA-N,0.94,1,1,0.0,Nc1ccc2c(ccc3ccccc32)c1,2-aminophenanthrene,0.505,1,0.0,0.984,0.8491004905931356
